Elementos, Normal, Polimorfismo, Puntero_funcion, Templates
1,0.000405,0.000208,0.000213,0.000385
10001,2.2214,1.19812,1.1451,0.944343
20001,1.72902,2.15704,1.80463,1.39244
30001,2.19424,2.69631,2.65655,2.13746
40001,2.88007,3.63515,3.59279,2.87521
50001,3.58903,4.61529,4.52178,3.61955
60001,4.43924,5.59036,5.49435,4.46471
70001,5.2183,6.56274,6.471,5.26045
80001,6.09979,7.68405,7.55144,6.11466
90001,6.7985,8.63753,8.52407,6.79957
100001,7.65797,9.75671,9.55113,7.68693
110001,8.46157,10.7715,10.792,8.49719
120001,9.32662,11.7739,11.6524,9.3992
130001,10.0616,12.7311,12.6813,9.97763
140001,10.97,13.8979,13.7508,11.0304
150001,11.8254,15.0184,14.8624,11.8731
160001,12.633,16.3328,15.9591,12.6649
170001,13.5358,17.056,16.9752,13.5003
180001,14.4277,18.2217,18.1283,14.1975
190001,15.1058,19.3083,19.0662,15.1517
200001,16.0625,20.2558,20.1167,16.1427
210001,16.8665,21.4742,21.2072,16.8384
220001,17.7282,22.7735,22.3126,17.6362
230001,18.5049,23.612,23.3136,18.349
240001,19.5402,24.7486,24.5853,19.3681
250001,20.3961,25.9499,25.4793,20.2171
260001,21.1034,26.9153,26.5505,21.0148
270001,22.2337,28.059,27.5769,21.7053
280001,23.2261,29.1243,28.846,22.643
290001,23.7228,30.0075,29.5546,23.4393
300001,24.6359,31.3301,30.7391,24.3631
310001,25.6479,32.3549,32.0167,25.142
320001,26.4362,33.4695,32.9612,26.0342
330001,27.2191,34.205,33.7777,26.7125
340001,28.1345,35.6009,35.1627,27.6063
350001,28.7887,36.461,38.8963,28.5281
360001,29.6831,37.6769,37.1695,29.3856
370001,30.5137,38.5959,38.081,30.117
380001,31.8318,39.8169,39.25,31.1375
390001,32.2196,40.6408,40.2506,32.1678
400001,32.9452,41.8132,41.2857,32.7799
410001,33.6797,43.0276,42.4996,33.7253
420001,34.6221,43.7873,43.9289,34.3954
430001,35.5718,45.1793,44.3442,35.1207
440001,36.5217,46.1694,45.9332,36.1265
450001,37.2613,47.2343,46.7369,36.9864
460001,38.2267,48.3105,47.6803,37.6191
470001,38.9697,49.5962,49.1175,38.658
480001,39.7768,50.5607,49.8919,39.4742
490001,40.7858,51.7506,51.1193,40.5454
500001,42.0371,52.9901,52.0201,41.1658
510001,42.4689,54.0235,53.4119,41.9502
520001,43.1947,54.9421,54.0548,43.0254
530001,44.2456,56.0093,55.5202,43.7882
540001,45.3947,57.1897,56.4557,44.5916
550001,45.9948,58.764,57.64,45.7654
560001,46.896,59.7613,58.8417,46.7004
570001,47.8646,60.4499,60.2923,47.6426
580001,48.5923,61.807,60.9388,48.4494
590001,49.5784,62.4881,61.995,49.2999
600001,50.3286,63.8579,63.1973,50.5205
610001,51.3042,65.132,64.2202,51.5809
620001,51.9413,66.0233,65.4172,51.8258
630001,53.1012,67.2139,66.8194,52.7572
640001,54.3427,68.3108,67.7337,53.3727
650001,54.8397,69.6678,68.9291,54.2305
660001,55.574,70.421,69.5003,54.9689
670001,56.2857,71.9625,70.8782,56.0253
680001,57.4258,72.6499,72.0098,56.9643
690001,57.9107,73.7571,73.1972,58.0658
700001,58.9077,74.7816,75.7048,58.712
710001,59.6145,76.0384,75.427,59.4497
720001,60.5273,76.9942,76.4366,60.1563
730001,61.307,78.1336,77.509,61.4216
740001,62.4208,79.265,78.6833,62.2316
750001,63.0943,80.9628,79.6861,62.7771
760001,63.882,81.714,80.6429,64.2789
770001,64.6425,82.5148,81.3507,64.3565
780001,65.6266,83.4081,83.0257,65.3492
790001,66.2601,84.5711,83.9081,66.3562
800001,67.3225,86.2324,84.9015,66.9613
810001,68.0995,87.2107,85.9222,68.1148
820001,69.088,89.0582,87.6996,68.8787
830001,69.8804,89.8259,88.2619,69.5558
840001,70.759,90.6328,89.615,70.52
850001,71.7653,91.4672,90.7087,71.1982
860001,72.5793,92.4297,92.0189,72.3248
870001,73.231,93.6564,92.7609,73.0232
880001,74.3626,94.9028,94.0891,73.858
890001,75.0881,96.1896,94.7474,74.9597
900001,76.1564,97.2316,95.7041,75.7319
910001,76.8378,97.7332,96.809,76.9072
920001,77.6649,99.3306,98.0916,77.1137
930001,78.8441,100.815,99.3024,78.2961
940001,79.7378,101.518,100.414,79.5719
950001,80.2446,102.386,101.252,79.9691
960001,81.3471,103.675,103.17,80.8202
970001,82.0839,104.701,104.219,81.7063
980001,83.0891,105.481,105.096,82.7819
990001,84.6275,106.334,105.769,83.3014
1000001,85.0294,107.561,106.916,84.1854
